state,district,crop,year,data_status,production_tonnes,fertilizer_use_kg_per_hectare,pesticide_use_kg_per_hectare,pH,nitrogen_kg_ha,phosphorus_kg_ha,potassium_kg_ha,organic_carbon_percent,msp_rs_qtl,expected_yield_q_ha,estimated_yield_q_ha,yield_gap_q_ha,production_cost_rs_ha,expected_net_return_rs_ha,water_stress_index,estimated_co2_kg_per_hectare,formula_pollution_index,pollution_index,sustainability_score
Punjab,Amritsar,Rice / Paddy,2021,Official-aligned historical,10633.2,310.75,23.9,7.75,325.6,20.8,298.9,0.49,2441,65,65.34,0,90000,69494.94,1,525.87,92.32,94.69,8.0
Punjab,Amritsar,Rice / Paddy,2022,Official-aligned historical,10386.0,316.14,24.18,7.74,324.4,20.8,298.9,0.51,2441,65,65.63,0,90000,70202.83,1,534.3,93.38,96.77,6.03
Punjab,Amritsar,Rice / Paddy,2023,Official-aligned historical,10930.8,321.54,24.46,7.77,323.2,20.9,298.8,0.52,2441,65,65.75,0,90000,70495.75,1,542.75,94.52,93.14,9.71
Punjab,Amritsar,Rice / Paddy,2024,Provisional estimate,10506.7,326.94,24.74,7.81,322.0,20.9,298.8,0.52,2441,65,65.71,0,90000,70398.11,1,551.2,95.56,89.25,13.58
Punjab,Amritsar,Rice / Paddy,2025,Model-estimated scenario,11212.1,332.34,25.02,7.82,320.8,20.9,298.8,0.49,2441,65,65.19,0,90000,69128.79,1,559.64,96.71,100,2.64
Punjab,Amritsar,Rice / Paddy,2026,Model-estimated scenario,10647.3,337.74,25.3,7.79,319.6,20.9,298.7,0.48,2441,65,64.99,0.01,90000,68640.59,1,568.09,97.74,100,2.56
Punjab,Amritsar,Maize,2019,Official-aligned historical,8465.2,235.79,17.67,7.81,328.0,20.8,299.0,0.49,2410,55,55.36,0,67000,66417.6,0.6737846089201981,396.64,70.69,65.93,38.9
Punjab,Amritsar,Maize,2020,Official-aligned historical,9086.6,240.03,17.88,7.78,326.8,20.8,299.0,0.48,2410,55,55.19,0,67000,66007.9,0.6737846089201981,403.23,71.61,72.69,32.07
Punjab,Amritsar,Maize,2021,Official-aligned historical,8702.8,244.27,18.09,7.75,325.6,20.8,298.9,0.49,2410,55,55.29,0,67000,66248.9,0.6737846089201981,409.81,72.41,75.02,29.78
Punjab,Amritsar,Maize,2022,Official-aligned historical,8866.1,248.52,18.3,7.74,324.4,20.8,298.9,0.51,2410,55,55.53,0,67000,66827.3,0.6737846089201981,416.41,73.27,74.02,30.87
Punjab,Amritsar,Maize,2023,Official-aligned historical,9332.3,252.76,18.52,7.77,323.2,20.9,298.8,0.52,2410,55,55.64,0,67000,67092.4,0.6737846089201981,423.04,74.18,68.75,36.18
Punjab,Amritsar,Maize,2024,Provisional estimate,8840.9,257.01,18.73,7.81,322.0,20.9,298.8,0.52,2410,55,55.6,0,67000,66996.0,0.6737846089201981,429.64,74.97,77.37,27.55
Punjab,Amritsar,Maize,2025,Model-estimated scenario,9304.6,261.25,18.94,7.82,320.8,20.9,298.8,0.49,2410,55,55.16,0,67000,65935.6,0.6737846089201981,436.22,75.87,79.75,25.0
Punjab,Amritsar,Maize,2026,Model-estimated scenario,9483.8,265.49,19.15,7.79,319.6,20.9,298.7,0.48,2410,55,54.99,0.01,67000,65525.9,0.6737846089201981,442.8,76.73,76.77,27.92
Punjab,Amritsar,Cotton,2019,Official-aligned historical,3667.1,225.03,34.29,7.81,328.0,20.8,299.0,0.49,8267,24,24.16,0,95000,104730.72,0.843784608920198,467.42,82.98,84.17,25.19
Punjab,Amritsar,Cotton,2020,Official-aligned historical,3759.4,229.08,34.7,7.78,326.8,20.8,299.0,0.48,8267,24,24.08,0,95000,104069.36,0.843784608920198,474.77,83.97,84.89,24.37
Punjab,Amritsar,Cotton,2021,Official-aligned historical,3958.4,233.13,35.11,7.75,325.6,20.8,298.9,0.49,8267,24,24.13,0,95000,104482.71,0.843784608920198,482.13,84.99,86.71,22.61
Punjab,Amritsar,Cotton,2022,Official-aligned historical,4033.1,237.18,35.52,7.74,324.4,20.8,298.9,0.51,8267,24,24.23,0,95000,105309.41,0.843784608920198,489.49,85.98,82.64,26.81
Punjab,Amritsar,Cotton,2023,Official-aligned historical,3927.9,241.23,35.93,7.77,323.2,20.9,298.8,0.52,8267,24,24.28,0,95000,105722.76,0.843784608920198,496.84,86.91,88.44,21.07
Punjab,Amritsar,Cotton,2024,Provisional estimate,3846.3,245.28,36.34,7.81,322.0,20.9,298.8,0.52,8267,24,24.26,0,95000,105557.42,0.843784608920198,504.2,87.85,90.51,18.98
Punjab,Amritsar,Cotton,2025,Model-estimated scenario,3961.8,249.33,36.76,7.82,320.8,20.9,298.8,0.49,8267,24,24.07,0,95000,103986.69,0.843784608920198,511.61,88.86,90.73,18.52
Punjab,Amritsar,Cotton,2026,Model-estimated scenario,4165.9,253.38,37.17,7.79,319.6,20.9,298.7,0.48,8267,24,24.0,0,95000,103408.0,0.843784608920198,518.96,89.88,85.7,23.46
Punjab,Amritsar,Mustard / Rapeseed,2019,Official-aligned historical,2818.0,182.56,12.36,7.81,328.0,20.8,299.0,0.49,6200,18,18.12,0,52000,60344.0,0.4737846089201981,300.36,54.09,53.6,51.89
Punjab,Amritsar,Mustard / Rapeseed,2020,Official-aligned historical,2820.3,185.85,12.51,7.78,326.8,20.8,299.0,0.48,6200,18,18.06,0,52000,59972.0,0.4737846089201981,305.41,54.73,55.84,49.6
Punjab,Amritsar,Mustard / Rapeseed,2021,Official-aligned historical,2826.4,189.13,12.66,7.75,325.6,20.8,298.9,0.49,6200,18,18.1,0,52000,60220.0,0.4737846089201981,310.44,55.38,54.24,51.23
Punjab,Amritsar,Mustard / Rapeseed,2022,Official-aligned historical,2838.3,192.42,12.8,7.74,324.4,20.8,298.9,0.51,6200,18,18.17,0,52000,60654.0,0.4737846089201981,315.43,56.02,58.23,47.31
Punjab,Amritsar,Mustard / Rapeseed,2023,Official-aligned historical,2857.3,195.71,12.95,7.77,323.2,20.9,298.8,0.52,6200,18,18.21,0,52000,60902.0,0.4737846089201981,320.47,56.67,57.6,47.98
Punjab,Amritsar,Mustard / Rapeseed,2024,Provisional estimate,2884.4,198.99,13.1,7.81,322.0,20.9,298.8,0.52,6200,18,18.2,0,52000,60840.0,0.4737846089201981,325.5,57.33,59.61,45.96
Punjab,Amritsar,Mustard / Rapeseed,2025,Model-estimated scenario,2919.8,202.28,13.25,7.82,320.8,20.9,298.8,0.49,6200,18,18.05,0,52000,59910.0,0.4737846089201981,330.54,57.98,56.07,49.36
Punjab,Amritsar,Mustard / Rapeseed,2026,Model-estimated scenario,2963.1,205.57,13.4,7.79,319.6,20.9,298.7,0.48,6200,18,18.0,0,52000,59600.0,0.4737846089201981,335.58,58.64,60.83,44.55
Punjab,Amritsar,Barley,2019,Official-aligned historical,6792.9,176.81,11.05,7.81,328.0,20.8,299.0,0.49,2150,42,42.27,0,47000,43880.5,0.503784608920198,286.21,53.54,53.02,49.7
Punjab,Amritsar,Barley,2020,Official-aligned historical,6939.1,179.99,11.19,7.78,326.8,20.8,299.0,0.48,2150,42,42.14,0,47000,43601.0,0.503784608920198,291.06,54.19,54.21,48.47
Punjab,Amritsar,Barley,2021,Official-aligned historical,6971.3,183.17,11.32,7.75,325.6,20.8,298.9,0.49,2150,42,42.22,0,47000,43773.0,0.503784608920198,295.85,54.8,59.0,43.7
Punjab,Amritsar,Barley,2022,Official-aligned historical,6904.3,186.36,11.45,7.74,324.4,20.8,298.9,0.51,2150,42,42.41,0,47000,44181.5,0.503784608920198,300.66,55.41,55.31,47.46
Punjab,Amritsar,Barley,2023,Official-aligned historical,6802.3,189.54,11.58,7.77,323.2,20.9,298.8,0.52,2150,42,42.49,0,47000,44353.5,0.503784608920198,305.46,56.0,57.2,45.59
Punjab,Amritsar,Barley,2024,Provisional estimate,6748.6,192.72,11.72,7.81,322.0,20.9,298.8,0.52,2150,42,42.46,0,47000,44289.0,0.503784608920198,310.31,56.61,56.65,46.13
Punjab,Amritsar,Barley,2025,Model-estimated scenario,6803.7,195.9,11.85,7.82,320.8,20.9,298.8,0.49,2150,42,42.12,0,47000,43558.0,0.503784608920198,315.11,57.23,60.64,42.03
Punjab,Amritsar,Barley,2026,Model-estimated scenario,6975.3,199.09,11.98,7.79,319.6,20.9,298.7,0.48,2150,42,41.99,0.01,47000,43278.5,0.503784608920198,319.92,57.87,58.9,43.73
Punjab,Amritsar,Gram / Chana,2019,Official-aligned historical,2944.3,141.25,10.53,7.81,328.0,20.8,299.0,0.49,5875,18,18.12,0,48000,58455.0,0.4237846089201981,237.33,45.38,44.98,60.62
Punjab,Amritsar,Gram / Chana,2020,Official-aligned historical,2845.3,143.8,10.66,7.78,326.8,20.8,299.0,0.48,5875,18,18.06,0,48000,58102.5,0.4237846089201981,241.31,45.85,52.31,53.24
Punjab,Amritsar,Gram / Chana,2021,Official-aligned historical,2810.7,146.34,10.79,7.75,325.6,20.8,298.9,0.49,5875,18,18.1,0,48000,58337.5,0.4237846089201981,245.27,46.35,46.73,58.85
Punjab,Amritsar,Gram / Chana,2022,Official-aligned historical,2987.7,148.88,10.91,7.74,324.4,20.8,298.9,0.51,5875,18,18.17,0,48000,58748.75,0.4237846089201981,249.19,46.91,46.37,59.28
Punjab,Amritsar,Gram / Chana,2023,Official-aligned historical,3036.8,151.42,11.04,7.77,323.2,20.9,298.8,0.52,5875,18,18.21,0,48000,58983.75,0.4237846089201981,253.15,47.44,48.09,57.59
Punjab,Amritsar,Gram / Chana,2024,Provisional estimate,2907.7,153.97,11.17,7.81,322.0,20.9,298.8,0.52,5875,18,18.2,0,48000,58925.0,0.4237846089201981,257.13,47.9,44.03,61.65
Punjab,Amritsar,Gram / Chana,2025,Model-estimated scenario,2961.5,156.51,11.29,7.82,320.8,20.9,298.8,0.49,5875,18,18.05,0,48000,58043.75,0.4237846089201981,261.04,48.42,48.9,56.64
Punjab,Amritsar,Gram / Chana,2026,Model-estimated scenario,3143.1,159.05,11.42,7.79,319.6,20.9,298.7,0.48,5875,18,18.0,0,48000,57750.0,0.4237846089201981,265.01,49.0,50.2,55.29
Punjab,Amritsar,Masur / Lentil,2019,Official-aligned historical,2566.1,132.88,10.32,7.81,328.0,20.8,299.0,0.49,7000,16,16.1,0,47000,65700.0,0.40378460892019813,225.38,43.44,51.23,55.65
Punjab,Amritsar,Masur / Lentil,2020,Official-aligned historical,2487.7,135.27,10.44,7.78,326.8,20.8,299.0,0.48,7000,16,16.05,0,47000,65350.0,0.40378460892019813,229.1,43.88,46.12,60.7
Punjab,Amritsar,Masur / Lentil,2021,Official-aligned historical,2666.6,137.66,10.56,7.75,325.6,20.8,298.9,0.49,7000,16,16.08,0,47000,65560.0,0.40378460892019813,232.81,44.43,42.72,64.14
Punjab,Amritsar,Masur / Lentil,2022,Official-aligned historical,2515.0,140.05,10.69,7.74,324.4,20.8,298.9,0.51,7000,16,16.16,0,47000,66120.0,0.40378460892019813,236.58,44.86,44.59,62.35
Punjab,Amritsar,Masur / Lentil,2023,Official-aligned historical,2709.1,142.44,10.81,7.77,323.2,20.9,298.8,0.52,7000,16,16.19,0,47000,66330.0,0.40378460892019813,240.3,45.41,43.6,63.37
Punjab,Amritsar,Masur / Lentil,2024,Provisional estimate,2604.1,144.84,10.93,7.81,322.0,20.9,298.8,0.52,7000,16,16.18,0,47000,66260.0,0.40378460892019813,244.03,45.85,47.37,59.59
Punjab,Amritsar,Masur / Lentil,2025,Model-estimated scenario,2697.1,147.23,11.06,7.82,320.8,20.9,298.8,0.49,7000,16,16.05,0,47000,65350.0,0.40378460892019813,247.81,46.37,45.89,60.93
Punjab,Amritsar,Masur / Lentil,2026,Model-estimated scenario,2730.7,149.62,11.18,7.79,319.6,20.9,298.7,0.48,7000,16,16.0,0,47000,65000.0,0.40378460892019813,251.52,46.86,47.94,58.83
Punjab,Amritsar,Bajra,2019,Official-aligned historical,4652.7,119.95,9.38,7.81,328.0,20.8,299.0,0.49,2900,30,30.2,0,41000,46580.0,0.3437846089201981,203.77,40.45,44.99,59.43
Punjab,Amritsar,Bajra,2020,Official-aligned historical,4943.5,122.11,9.49,7.78,326.8,20.8,299.0,0.48,2900,30,30.1,0,41000,46290.0,0.3437846089201981,207.14,40.94,39.51,64.86
Punjab,Amritsar,Bajra,2021,Official-aligned historical,4670.6,124.27,9.6,7.75,325.6,20.8,298.9,0.49,2900,30,30.16,0,41000,46464.0,0.3437846089201981,210.51,41.31,39.32,65.08
Punjab,Amritsar,Bajra,2022,Official-aligned historical,5012.7,126.43,9.71,7.74,324.4,20.8,298.9,0.51,2900,30,30.29,0,41000,46841.0,0.3437846089201981,213.88,41.82,40.82,63.64
Punjab,Amritsar,Bajra,2023,Official-aligned historical,4887.4,128.58,9.83,7.77,323.2,20.9,298.8,0.52,2900,30,30.35,0,41000,47015.0,0.3437846089201981,217.29,42.23,45.9,58.58
Punjab,Amritsar,Bajra,2024,Provisional estimate,4927.0,130.74,9.94,7.81,322.0,20.9,298.8,0.52,2900,30,30.33,0,41000,46957.0,0.3437846089201981,220.66,42.67,41.47,63.0
Punjab,Amritsar,Bajra,2025,Model-estimated scenario,5163.8,132.9,10.05,7.82,320.8,20.9,298.8,0.49,2900,30,30.09,0,41000,46261.0,0.3437846089201981,224.03,43.16,42.92,61.45
Punjab,Amritsar,Bajra,2026,Model-estimated scenario,4898.5,135.06,10.16,7.79,319.6,20.9,298.7,0.48,2900,30,29.99,0.01,41000,45971.0,0.3437846089201981,227.39,43.53,42.79,61.53
Punjab,Amritsar,Jowar,2019,Official-aligned historical,4271.9,122.55,9.73,7.81,328.0,20.8,299.0,0.49,4023,28,28.18,0,46000,67368.14,0.3637846089201981,208.94,41.32,41.62,65.83
Punjab,Amritsar,Jowar,2020,Official-aligned historical,4469.7,124.75,9.85,7.78,326.8,20.8,299.0,0.48,4023,28,28.1,0,46000,67046.3,0.3637846089201981,212.41,41.81,38.51,68.89
Punjab,Amritsar,Jowar,2021,Official-aligned historical,4673.4,126.96,9.96,7.75,325.6,20.8,298.9,0.49,4023,28,28.15,0,46000,67247.45,0.3637846089201981,215.84,42.3,40.55,66.89
Punjab,Amritsar,Jowar,2022,Official-aligned historical,4562.4,129.16,10.08,7.74,324.4,20.8,298.9,0.51,4023,28,28.27,0,46000,67730.21,0.3637846089201981,219.32,42.72,48.54,58.97
Punjab,Amritsar,Jowar,2023,Official-aligned historical,4442.8,131.37,10.2,7.77,323.2,20.9,298.8,0.52,4023,28,28.32,0,46000,67931.36,0.3637846089201981,222.8,43.14,42.78,64.76
Punjab,Amritsar,Jowar,2024,Provisional estimate,4643.8,133.58,10.31,7.81,322.0,20.9,298.8,0.52,4023,28,28.31,0,46000,67891.13,0.3637846089201981,226.24,43.63,41.67,65.86
Punjab,Amritsar,Jowar,2025,Model-estimated scenario,4856.6,135.78,10.43,7.82,320.8,20.9,298.8,0.49,4023,28,28.08,0,46000,66965.84,0.3637846089201981,229.71,44.12,43.62,63.77
Punjab,Amritsar,Jowar,2026,Model-estimated scenario,4742.5,137.99,10.55,7.79,319.6,20.9,298.7,0.48,4023,28,27.99,0.01,46000,66603.77,0.3637846089201981,233.19,44.54,49.64,57.7
Punjab,Amritsar,Moong,2019,Official-aligned historical,1706.4,110.49,9.45,7.81,328.0,20.8,299.0,0.49,8780,11,11.07,0,39000,58194.6,0.3737846089201981,191.83,38.3,35.08,70.88
Punjab,Amritsar,Moong,2020,Official-aligned historical,1700.8,112.48,9.57,7.78,326.8,20.8,299.0,0.48,8780,11,11.04,0,39000,57931.2,0.3737846089201981,195.03,38.71,35.27,70.65
Punjab,Amritsar,Moong,2021,Official-aligned historical,1712.3,114.47,9.68,7.75,325.6,20.8,298.9,0.49,8780,11,11.06,0,39000,58106.8,0.3737846089201981,198.18,39.12,45.94,60.01
Punjab,Amritsar,Moong,2022,Official-aligned historical,1743.1,116.46,9.79,7.74,324.4,20.8,298.9,0.51,8780,11,11.11,0,39000,58545.8,0.3737846089201981,201.33,39.55,41.26,64.76
Punjab,Amritsar,Moong,2023,Official-aligned historical,1789.4,118.45,9.91,7.77,323.2,20.9,298.8,0.52,8780,11,11.13,0,39000,58721.4,0.3737846089201981,204.53,39.99,37.14,68.9
Punjab,Amritsar,Moong,2024,Provisional estimate,1842.3,120.44,10.02,7.81,322.0,20.9,298.8,0.52,8780,11,11.12,0,39000,58633.6,0.3737846089201981,207.67,40.42,38.72,67.31
Punjab,Amritsar,Moong,2025,Model-estimated scenario,1890.8,122.43,10.13,7.82,320.8,20.9,298.8,0.49,8780,11,11.03,0,39000,57843.4,0.3737846089201981,210.82,40.86,47.81,58.1
Punjab,Amritsar,Moong,2026,Model-estimated scenario,1924.9,124.42,10.25,7.79,319.6,20.9,298.7,0.48,8780,11,11.0,0,39000,57580.0,0.3737846089201981,214.02,41.29,42.17,63.7
Punjab,Amritsar,Urad,2019,Official-aligned historical,1604.2,112.87,9.32,7.81,328.0,20.8,299.0,0.49,8200,10,10.06,0,38000,44492.0,0.3737846089201981,194.26,38.52,33.66,70.19
Punjab,Amritsar,Urad,2020,Official-aligned historical,1639.4,114.91,9.43,7.78,326.8,20.8,299.0,0.48,8200,10,10.03,0,38000,44246.0,0.3737846089201981,197.48,38.96,45.21,58.61
Punjab,Amritsar,Urad,2021,Official-aligned historical,1667.0,116.94,9.55,7.75,325.6,20.8,298.9,0.49,8200,10,10.05,0,38000,44410.0,0.3737846089201981,200.73,39.39,43.32,60.52
Punjab,Amritsar,Urad,2022,Official-aligned historical,1684.7,118.97,9.66,7.74,324.4,20.8,298.9,0.51,8200,10,10.1,0,38000,44820.0,0.3737846089201981,203.93,39.82,37.61,66.3
Punjab,Amritsar,Urad,2023,Official-aligned historical,1691.8,121.0,9.77,7.77,323.2,20.9,298.8,0.52,8200,10,10.12,0,38000,44984.0,0.3737846089201981,207.13,40.23,36.8,67.13
Punjab,Amritsar,Urad,2024,Provisional estimate,1689.9,123.03,9.88,7.81,322.0,20.9,298.8,0.52,8200,10,10.11,0,38000,44902.0,0.3737846089201981,210.33,40.64,48.03,55.89
Punjab,Amritsar,Urad,2025,Model-estimated scenario,1682.1,125.07,9.99,7.82,320.8,20.9,298.8,0.49,8200,10,10.03,0,38000,44246.0,0.3737846089201981,213.54,41.05,44.2,59.62
Punjab,Amritsar,Urad,2026,Model-estimated scenario,1672.6,127.1,10.11,7.79,319.6,20.9,298.7,0.48,8200,10,10.0,0,38000,44000.0,0.3737846089201981,216.79,41.46,39.25,64.53
Punjab,Amritsar,Tur / Arhar,2019,Official-aligned historical,2126.6,128.05,10.45,7.81,328.0,20.8,299.0,0.49,8450,13,13.08,0,46000,64526.0,0.4437846089201981,219.76,43.11,47.73,58.65
Punjab,Amritsar,Tur / Arhar,2020,Official-aligned historical,2095.5,130.35,10.58,7.78,326.8,20.8,299.0,0.48,8450,13,13.04,0,46000,64188.0,0.4437846089201981,223.41,43.57,48.69,57.63
Punjab,Amritsar,Tur / Arhar,2021,Official-aligned historical,2029.2,132.66,10.7,7.75,325.6,20.8,298.9,0.49,8450,13,13.07,0,46000,64441.5,0.4437846089201981,227.03,44.0,43.76,62.6
Punjab,Amritsar,Tur / Arhar,2022,Official-aligned historical,2078.3,134.96,10.83,7.74,324.4,20.8,298.9,0.51,8450,13,13.13,0,46000,64948.5,0.4437846089201981,230.68,44.49,40.0,66.44
Punjab,Amritsar,Tur / Arhar,2023,Official-aligned historical,2195.4,137.27,10.95,7.77,323.2,20.9,298.8,0.52,8450,13,13.15,0,46000,65117.5,0.4437846089201981,234.3,45.01,51.35,55.12
Punjab,Amritsar,Tur / Arhar,2024,Provisional estimate,2213.4,139.57,11.08,7.81,322.0,20.9,298.8,0.52,8450,13,13.14,0,46000,65033.0,0.4437846089201981,237.95,45.49,50.61,55.84
Punjab,Amritsar,Tur / Arhar,2025,Model-estimated scenario,2134.9,141.88,11.2,7.82,320.8,20.9,298.8,0.49,8450,13,13.04,0,46000,64188.0,0.4437846089201981,241.56,45.92,44.9,61.42
Punjab,Amritsar,Tur / Arhar,2026,Model-estimated scenario,2130.7,144.18,11.33,7.79,319.6,20.9,298.7,0.48,8450,13,13.0,0,46000,63850.0,0.4437846089201981,245.22,46.39,43.05,63.22
Punjab,Amritsar,Groundnut,2019,Official-aligned historical,3880.8,200.07,18.44,7.81,328.0,20.8,299.0,0.49,7517,24,24.16,0,76000,105610.72,0.5737846089201981,354.13,63.26,67.99,43.67
Punjab,Amritsar,Groundnut,2020,Official-aligned historical,3699.8,203.67,18.66,7.78,326.8,20.8,299.0,0.48,7517,24,24.08,0,76000,105009.36,0.5737846089201981,359.94,63.95,65.97,45.6
Punjab,Amritsar,Groundnut,2021,Official-aligned historical,3985.6,207.27,18.88,7.75,325.6,20.8,298.9,0.49,7517,24,24.13,0,76000,105385.21,0.5737846089201981,365.74,64.78,60.74,50.88
Punjab,Amritsar,Groundnut,2022,Official-aligned historical,3866.5,210.87,19.1,7.74,324.4,20.8,298.9,0.51,7517,24,24.23,0,76000,106136.91,0.5737846089201981,371.54,65.5,60.61,51.13
Punjab,Amritsar,Groundnut,2023,Official-aligned historical,3892.6,214.47,19.32,7.77,323.2,20.9,298.8,0.52,7517,24,24.28,0,76000,106512.76,0.5737846089201981,377.34,66.25,72.01,39.79
Punjab,Amritsar,Groundnut,2024,Provisional estimate,4108.8,218.07,19.55,7.81,322.0,20.9,298.8,0.52,7517,24,24.26,0,76000,106362.42,0.5737846089201981,383.2,67.07,68.26,43.51
Punjab,Amritsar,Groundnut,2025,Model-estimated scenario,3885.4,221.67,19.77,7.82,320.8,20.9,298.8,0.49,7517,24,24.07,0,76000,104934.19,0.5737846089201981,389.0,67.75,63.84,47.71
Punjab,Amritsar,Groundnut,2026,Model-estimated scenario,4142.5,225.27,19.99,7.79,319.6,20.9,298.7,0.48,7517,24,24.0,0,76000,104408.0,0.5737846089201981,394.8,68.57,65.42,46.05
Punjab,Amritsar,Sunflower Seed,2019,Official-aligned historical,2817.1,176.16,16.15,7.81,328.0,20.8,299.0,0.49,8343,18,18.12,0,62000,89175.16,0.5437846089201981,311.37,56.9,60.29,49.08
Punjab,Amritsar,Sunflower Seed,2020,Official-aligned historical,2929.7,179.33,16.34,7.78,326.8,20.8,299.0,0.48,8343,18,18.06,0,62000,88674.58,0.5437846089201981,316.46,57.59,55.39,53.9
Punjab,Amritsar,Sunflower Seed,2021,Official-aligned historical,2824.7,182.51,16.53,7.75,325.6,20.8,298.9,0.49,8343,18,18.1,0,62000,89008.3,0.5437846089201981,321.57,58.21,52.12,57.22
Punjab,Amritsar,Sunflower Seed,2022,Official-aligned historical,3025.6,185.68,16.73,7.74,324.4,20.8,298.9,0.51,8343,18,18.17,0,62000,89592.31,0.5437846089201981,326.71,58.95,63.82,45.61
Punjab,Amritsar,Sunflower Seed,2023,Official-aligned historical,2856.7,188.85,16.92,7.77,323.2,20.9,298.8,0.52,8343,18,18.21,0,62000,89926.03,0.5437846089201981,331.8,59.54,62.8,46.68
Punjab,Amritsar,Sunflower Seed,2024,Provisional estimate,3091.0,192.02,17.12,7.81,322.0,20.9,298.8,0.52,8343,18,18.2,0,62000,89842.6,0.5437846089201981,336.94,60.29,57.38,52.09
Punjab,Amritsar,Sunflower Seed,2025,Model-estimated scenario,2922.6,195.19,17.31,7.82,320.8,20.9,298.8,0.49,8343,18,18.05,0,62000,88591.15,0.5437846089201981,342.03,60.89,56.05,53.23
Punjab,Amritsar,Sunflower Seed,2026,Model-estimated scenario,3121.9,198.36,17.5,7.79,319.6,20.9,298.7,0.48,8343,18,18.0,0,62000,88174.0,0.5437846089201981,347.12,61.61,67.82,41.39
Punjab,Amritsar,Soybean,2019,Official-aligned historical,3361.2,142.7,13.41,7.81,328.0,20.8,299.0,0.49,5708,22,22.14,0,56000,70375.12,0.4637846089201981,253.9,48.49,48.59,58.53
Punjab,Amritsar,Soybean,2020,Official-aligned historical,3578.0,145.27,13.57,7.78,326.8,20.8,299.0,0.48,5708,22,22.07,0,56000,69975.56,0.4637846089201981,258.06,49.1,43.25,63.81
Punjab,Amritsar,Soybean,2021,Official-aligned historical,3631.0,147.84,13.73,7.75,325.6,20.8,298.9,0.49,5708,22,22.12,0,56000,70260.96,0.4637846089201981,262.22,49.65,52.8,54.3
Punjab,Amritsar,Soybean,2022,Official-aligned historical,3470.0,150.41,13.89,7.74,324.4,20.8,298.9,0.51,5708,22,22.21,0,56000,70774.68,0.4637846089201981,266.37,50.14,54.25,52.93
Punjab,Amritsar,Soybean,2023,Official-aligned historical,3595.0,152.98,14.05,7.77,323.2,20.9,298.8,0.52,5708,22,22.26,0,56000,71060.08,0.4637846089201981,270.53,50.71,49.94,57.28
Punjab,Amritsar,Soybean,2024,Provisional estimate,3779.3,155.55,14.21,7.81,322.0,20.9,298.8,0.52,5708,22,22.24,0,56000,70945.92,0.4637846089201981,274.69,51.3,45.71,61.49
Punjab,Amritsar,Soybean,2025,Model-estimated scenario,3639.0,158.12,14.37,7.82,320.8,20.9,298.8,0.49,5708,22,22.06,0,56000,69918.48,0.4637846089201981,278.84,51.8,56.7,50.35
